time,altitude,speed,mass
35.76,90.98,0.0,208107437.5
35.86,90.98,0.0,208107437.5
35.96,90.98,0.0,208107437.5
36.06,90.98,0.0,208107437.5
36.16,90.98,0.0,208107437.5
36.26,90.98,0.0,208107437.5
36.38,90.98,0.0,208107437.5
36.46,90.98,0.0,208107437.5
36.56,90.98,0.0,208107437.5
36.66,90.98,0.0,208107437.5
36.76,90.98,0.0,208107437.5
36.86,90.98,0.0,208107437.5
36.98,90.98,0.0,208107437.5
37.06,90.98,0.0,208107437.5
37.16,90.98,0.0,208107437.5
37.28,90.98,0.0,208107437.5
37.36,90.98,0.0,208107437.5
37.46,90.98,0.0,208107437.5
37.58,90.98,0.0,208107437.5
37.68,90.98,0.0,208107437.5
37.78,90.98,0.0,208107437.5
37.88,90.98,0.0,208107437.5
37.98,90.98,0.0,208107437.5
38.08,90.98,0.0,208107437.5
38.18,90.98,0.0,208107437.5
38.28,90.98,0.0,208107437.5
38.38,90.98,0.0,208107437.5
38.48,90.98,0.0,208107437.5
38.58,90.98,0.0,208107437.5
38.68,90.98,0.0,208107437.5
38.78,90.98,0.0,208107437.5
38.88,90.98,0.0,208107437.5
38.98,90.98,0.0,208107437.5
39.08,90.98,0.0,208107437.5
39.18,90.98,0.0,208107437.5
39.28,90.98,0.0,208107437.5
39.38,90.98,0.0,208107437.5
39.48,90.98,0.0,208107437.5
39.52,90.98,0.0,208107437.5
39.66,90.97,0.07,208024578.125
39.76,90.97,0.05,207941718.75
39.86,90.99,0.17,207858875.0
39.96,91.01,0.29,207776031.25
40.06,91.05,0.41,207693171.875
40.16,91.1,0.54,207610312.5
40.26,91.16,0.66,207527468.75
40.36,91.23,0.78,207444625.0
40.46,91.32,0.91,207361765.625
40.56,91.42,1.03,207278906.25
40.66,91.53,1.15,207196062.5
40.76,91.66,1.28,207113203.125
40.86,91.79,1.4,207030359.375
40.96,91.94,1.53,206947515.625
41.06,92.1,1.66,206864656.25
41.16,92.28,1.78,206781812.5
41.26,92.46,1.91,206698953.125
41.36,92.66,2.04,206616093.75
41.46,92.88,2.17,206533250.0
41.56,93.1,2.29,206450390.625
41.66,93.34,2.42,206367531.25
41.76,93.59,2.55,206284703.125
41.86,93.85,2.68,206201843.75
41.96,94.13,2.81,206118984.375
42.06,94.42,2.94,206036140.625
42.16,94.72,3.07,205953281.25
42.26,95.04,3.2,205870421.875
42.36,95.37,3.33,205787578.125
42.46,95.71,3.47,205704718.75
42.56,96.07,3.6,205621890.625
42.66,96.44,3.73,205539015.625
42.76,96.82,3.86,205456171.875
42.86,97.21,4.0,205373328.125
42.96,97.62,4.13,205290468.75
43.06,98.05,4.27,205207625.0
43.16,98.48,4.4,205124765.625
43.28,99.02,4.57,205025343.75
43.36,99.39,4.67,204959062.5
43.48,99.97,4.84,204859640.625
43.58,100.46,4.98,204776781.25
43.66,100.86,5.09,204710500.0
43.78,101.49,5.25,204611078.125
43.86,101.91,5.36,204544796.875
43.98,102.57,5.53,204445375.0
44.06,103.02,5.64,204379109.375
44.18,103.71,5.81,204279671.875
44.28,104.3,5.95,204196812.5
44.36,104.78,6.07,204130531.25
44.48,105.53,6.23,204031109.375
44.58,106.16,6.38,203948265.625
44.68,106.81,6.52,203865421.875
44.78,107.47,6.66,203782562.5
44.88,108.14,6.8,203699703.125
44.98,108.83,6.95,203616859.375
45.08,109.54,7.09,203534000.0
45.18,110.26,7.24,203451156.25
45.28,110.99,7.38,203368312.5
45.38,111.74,7.53,203285453.125
45.48,112.5,7.67,203202593.75
45.58,113.28,7.82,203119750.0
45.68,114.07,7.97,203036890.625
45.78,114.88,8.12,202954046.875
45.88,115.7,8.26,202871187.5
45.98,116.53,8.41,202788343.75
46.08,117.38,8.56,202705484.375
46.18,118.25,8.71,202622640.625
46.28,119.13,8.86,202539781.25
46.38,120.03,9.01,202456937.5
46.48,120.94,9.16,202374078.125
46.58,121.87,9.32,202291234.375
46.68,122.81,9.47,202208375.0
46.78,123.77,9.62,202125531.25
46.88,124.74,9.78,202042671.875
46.98,125.73,9.93,201959828.125
47.08,126.73,10.08,201876968.75
47.18,127.75,10.24,201794109.375
47.28,128.78,10.39,201711265.625
47.38,129.83,10.55,201628406.25
47.48,130.9,10.71,201545562.5
47.58,131.98,10.86,201462703.125
47.68,133.07,11.02,201379859.375
47.78,134.19,11.18,201297000.0
47.88,135.31,11.34,201214156.25
47.98,136.46,11.49,201131312.5
48.08,137.62,11.65,201048453.125
48.18,138.79,11.81,200965593.75
48.28,139.99,11.97,200882750.0
48.38,141.19,12.13,200799890.625
48.5,142.66,12.33,200700468.75
48.58,143.66,12.46,200634187.5
48.68,144.91,12.62,200551343.75
48.78,146.19,12.78,200468484.375
48.88,147.48,12.94,200385640.625
48.98,148.78,13.11,200302781.25
49.1,150.37,13.3,200203359.375
49.18,151.44,13.44,200137078.125
49.3,153.07,13.63,200037656.25
49.38,154.17,13.77,199971375.0
49.5,155.83,13.97,199871953.125
49.58,156.96,14.1,199805656.25
49.7,158.67,14.3,199706250.0
49.8,160.11,14.47,199623390.625
49.88,161.27,14.6,199557109.375
50.0,163.04,14.81,199457687.5
50.1,164.53,14.98,199374828.125
50.2,166.04,15.14,199291984.375
50.3,167.57,15.32,199209140.625
50.38,168.8,15.45,199142859.375
50.48,170.35,15.62,199060000.0
50.58,171.93,15.79,198977156.25
50.7,173.84,16.0,198877718.75
50.78,175.13,16.14,198811453.125
50.9,177.08,16.35,198712015.625
51.0,178.72,16.52,198629171.875
51.1,180.39,16.7,198546312.5
51.2,182.07,16.87,198463468.75
51.28,183.43,17.01,198397187.5
51.4,185.48,17.22,198297765.625
51.5,187.22,17.4,198214906.25
51.6,188.97,17.58,198132062.5
51.7,190.74,17.75,198049218.75
51.78,192.17,17.9,197982921.875
51.9,194.33,18.11,197883500.0
52.0,196.15,18.29,197800656.25
52.1,197.99,18.47,197717796.875
52.2,199.85,18.65,197634953.125
52.3,201.73,18.83,197552093.75
52.4,203.62,19.01,197469250.0
52.48,205.15,19.16,197402968.75
52.6,207.47,19.37,197303546.875
52.7,209.42,19.56,197220687.5
52.8,211.38,19.74,197137828.125
52.9,213.37,19.92,197054984.375
52.98,214.97,20.07,196988703.125
53.1,217.4,20.29,196889281.25
53.2,219.44,20.48,196806421.875
53.3,221.5,20.66,196723578.125
53.4,223.57,20.85,196640734.375
53.48,225.25,21.0,196574453.125
53.6,227.79,21.23,196475015.625
53.68,229.49,21.38,196408734.375
53.8,232.08,21.6,196309312.5
53.9,234.25,21.79,196226468.75
54.0,236.44,21.98,196143609.375
54.1,238.65,22.17,196060750.0
54.2,240.88,22.36,195977906.25
54.28,242.68,22.51,195911625.0
54.4,245.39,22.75,195812203.125
54.5,247.68,22.94,195729343.75
54.62,250.45,23.17,195629921.875
54.72,252.78,23.36,195547078.125
54.8,254.66,23.52,195480796.875
54.92,257.5,23.75,195381375.0
55.0,259.4,23.91,195315093.75
55.12,262.29,24.14,195215671.875
55.22,264.72,24.34,195132812.5
55.32,267.16,24.54,195049968.75
55.42,269.63,24.73,194967109.375
55.52,272.12,24.93,194884265.625
55.62,274.62,25.13,194801421.875
55.72,277.15,25.33,194718562.5
55.82,279.69,25.53,194635703.125
55.92,282.26,25.73,194552859.375
56.02,284.84,25.93,194470000.0
56.12,287.45,26.13,194387140.625
56.22,290.07,26.33,194304296.875
56.3,292.19,26.49,194238015.625
56.4,294.85,26.7,194155171.875
56.52,298.07,26.94,194055750.0
56.62,300.78,27.14,193972890.625
56.72,303.5,27.35,193890046.875
56.82,306.25,27.55,193807171.875
56.92,309.02,27.76,193724328.125
57.02,311.81,27.96,193641484.375
57.12,314.62,28.17,193558640.625
57.22,317.45,28.38,193475781.25
57.32,320.3,28.59,193392921.875
57.42,323.17,28.8,193310078.125
57.52,326.06,29.0,193227218.75
57.62,328.98,29.21,193144375.0
57.72,331.91,29.42,193061531.25
57.82,334.87,29.63,192978671.875
57.92,337.84,29.85,192895812.5
58.02,340.84,30.06,192812968.75
58.12,343.86,30.27,192730125.0
58.24,347.51,30.53,192630687.5
58.32,349.96,30.7,192564406.25
58.42,353.04,30.91,192481562.5
58.52,356.15,31.13,192398703.125
58.62,359.27,31.34,192315859.375
58.72,362.42,31.56,192233000.0
58.84,366.22,31.82,192133578.125
58.92,368.78,31.99,192067296.875
59.02,371.99,32.21,191984453.125
59.14,375.87,32.47,191885015.625
59.24,379.13,32.69,191802171.875
59.32,381.76,32.86,191735890.625
59.42,385.06,33.08,191653031.25
59.54,389.05,33.35,191553625.0
59.62,391.72,33.52,191487328.125
59.74,395.76,33.79,191387906.25
59.82,398.48,33.97,191321640.625
59.94,402.57,34.24,191222203.125
60.04,406.01,34.46,191139359.375
60.14,409.47,34.68,191056500.0
60.24,412.95,34.91,190973640.625
60.34,416.45,35.13,190890812.5
60.44,419.98,35.36,190807953.125
60.54,423.53,35.58,190725093.75
60.64,427.1,35.81,190642234.375
60.74,430.7,36.04,190559390.625
60.84,434.31,36.27,190476546.875
60.94,437.95,36.5,190393687.5
61.04,441.62,36.73,190310843.75
61.14,445.3,36.95,190228000.0
61.26,449.76,37.23,190128562.5
61.34,452.74,37.42,190062281.25
61.46,457.25,37.69,189962859.375
61.54,460.28,37.88,189896578.125
61.64,464.08,38.11,189813734.375
61.74,467.9,38.35,189730875.0
61.84,471.75,38.58,189648015.625
61.94,475.62,38.82,189565171.875
62.04,479.52,39.05,189482312.5
62.16,484.22,39.33,189382890.625
62.26,488.17,39.57,189300046.875
62.36,492.14,39.81,189217187.5
62.46,496.14,40.04,189134328.125
62.56,500.15,40.28,189051484.375
62.66,504.2,40.52,188968640.625
62.76,508.26,40.76,188885796.875
62.86,512.35,41.0,188802937.5
62.96,516.46,41.24,188720078.125
63.06,520.6,41.48,188637218.75
63.16,524.76,41.73,188554375.0
63.26,528.95,41.97,188471515.625
63.36,533.16,42.21,188388671.875
63.46,537.4,42.45,188305812.5
63.56,541.66,42.7,188222953.125
63.66,545.94,42.94,188140109.375
63.76,550.25,43.19,188057265.625
63.86,554.58,43.44,187974406.25
63.96,558.94,43.68,187891562.5
64.06,563.32,43.93,187808703.125
64.16,567.73,44.18,187725859.375
64.26,572.16,44.43,187643000.0
64.36,576.61,44.68,187560156.25
64.46,581.1,44.93,187477312.5
64.56,585.6,45.18,187394437.5
64.66,590.13,45.43,187311593.75
64.76,594.69,45.68,187228734.375
64.86,599.27,45.93,187145890.625
64.96,603.88,46.18,187063046.875
65.06,608.51,46.44,186980187.5
65.16,613.17,46.69,186897343.75
65.26,617.85,46.95,186814484.375
65.36,622.56,47.2,186731640.625
65.46,627.29,47.46,186648781.25
65.56,632.05,47.71,186565921.875
65.66,636.84,47.97,186483078.125
65.76,641.65,48.23,186400218.75
65.88,647.46,48.54,186300796.875
65.96,651.35,48.75,186234515.625
66.06,656.24,49.01,186151671.875
66.16,661.15,49.27,186068812.5
66.28,667.08,49.58,185969390.625
66.38,672.05,49.84,185886546.875
66.46,676.05,50.05,185820265.625
66.58,682.08,50.37,185720843.75
66.66,686.11,50.58,185654562.5
66.78,692.2,50.9,185555140.625
66.88,697.31,51.16,185472281.25
66.96,701.41,51.37,185406000.0
67.06,706.56,51.64,185323156.25
67.18,712.77,51.96,185223718.75
67.28,717.98,52.23,185140875.0
67.38,723.22,52.49,185058015.625
67.48,728.48,52.76,184975171.875
67.58,733.77,53.03,184892312.5
67.68,739.09,53.3,184809468.75
67.78,744.43,53.57,184726625.0
67.88,749.8,53.84,184643765.625
67.98,755.2,54.12,184560906.25
68.08,760.63,54.39,184478062.5
68.18,766.08,54.66,184395218.75
68.28,771.56,54.94,184312359.375
68.38,777.07,55.21,184229500.0
68.48,782.6,55.49,184146656.25
68.58,788.16,55.76,184063796.875
68.68,793.75,56.04,183980953.125
68.78,799.37,56.31,183898093.75
68.88,805.01,56.59,183815250.0
68.98,810.69,56.87,183732390.625
69.08,816.39,57.15,183649546.875
69.18,822.11,57.43,183566687.5
69.28,827.87,57.71,183483828.125
69.38,833.65,57.99,183400984.375
69.48,839.47,58.27,183318140.625
69.58,845.31,58.55,183235281.25
69.68,851.17,58.84,183152421.875
69.78,857.07,59.12,183069578.125
69.88,863.0,59.4,182986734.375
69.98,868.95,59.69,182903875.0
70.08,874.93,59.97,182821015.625
70.18,880.94,60.26,182738171.875
70.28,886.98,60.55,182655328.125
70.38,893.05,60.83,182572468.75
70.48,899.14,61.12,182489609.375
70.58,905.27,61.41,182406765.625
70.68,911.42,61.7,182323906.25
70.78,917.61,61.99,182241062.5
70.88,923.82,62.28,182158203.125
70.98,930.06,62.57,182075359.375
71.08,936.33,62.86,181992500.0
71.18,942.63,63.16,181909656.25
71.28,948.95,63.45,181826796.875
71.38,955.31,63.74,181743937.5
71.48,961.7,64.04,181661093.75
71.58,968.12,64.33,181578234.375
71.68,974.56,64.63,181495390.625
71.78,981.04,64.93,181412546.875
71.88,987.54,65.22,181329687.5
72.0,995.39,65.58,181230265.625
72.1,1001.96,65.88,181147406.25
72.18,1007.23,66.12,181081125.0
72.28,1013.86,66.42,180998281.25
72.38,1020.51,66.72,180915437.5
72.5,1028.54,67.08,180816000.0
72.6,1035.26,67.39,180733156.25
72.7,1042.01,67.69,180650296.875
72.78,1047.43,67.93,180584031.25
72.9,1055.6,68.3,180484593.75
73.0,1062.44,68.6,180401750.0
73.08,1067.93,68.84,180335453.125
73.2,1076.21,69.21,180236046.875
73.3,1083.14,69.52,180153187.5
73.38,1088.71,69.76,180086906.25
73.5,1097.1,70.13,179987484.375
73.6,1104.12,70.44,179904625.0
73.7,1111.18,70.75,179821781.25
73.8,1118.27,71.06,179738937.5
73.9,1125.38,71.37,179656078.125
74.0,1132.53,71.69,179573234.375
74.1,1139.71,72.0,179490375.0
74.2,1146.92,72.31,179407531.25
74.3,1154.16,72.62,179324671.875
74.4,1161.43,72.94,179241812.5
74.5,1168.74,73.25,179158968.75
74.6,1176.07,73.57,179076109.375
74.7,1183.44,73.89,178993265.625
74.8,1190.84,74.2,178910406.25
74.9,1198.27,74.52,178827562.5
75.0,1205.73,74.84,178744703.125
75.1,1213.23,75.16,178661859.375
75.2,1220.75,75.48,178579000.0
75.3,1228.31,75.8,178496156.25
75.4,1235.9,76.12,178413296.875
75.5,1243.52,76.44,178330453.125
75.6,1251.17,76.76,178247593.75
75.68,1257.32,77.02,178181312.5
75.78,1265.03,77.35,178098453.125
75.88,1272.77,77.67,178015625.0
75.98,1280.55,77.99,177932750.0
76.08,1288.36,78.32,177849906.25
76.18,1296.2,78.65,177767062.5
76.28,1304.07,78.97,177684187.5
76.38,1311.98,79.3,177601343.75
76.48,1319.91,79.63,177518500.0
76.58,1327.89,79.96,177435656.25
76.68,1335.89,80.29,177352796.875
76.78,1343.93,80.62,177269937.5
76.88,1352.0,80.95,177187093.75
76.98,1360.1,81.28,177104234.375
77.08,1368.24,81.62,177021390.625
77.18,1376.4,81.95,176938531.25
77.3,1386.25,82.35,176839109.375
77.38,1392.84,82.62,176772828.125
